Time_VN,Candle_VN,Decision,Result,PnL,Reason,Open,High,Low,Close,Volume,ML_Avg_Prob,LSTM_Prob,LGB_Prob,XGB_Prob,ML_votes_up,ML_votes_down,Score_Up,Score_Down,UP_votes,DOWN_votes,EMA5,EMA10,EMA20,EMA20_slope_5m,EMA20_slope_15m,EMA20_slope_30m,EMA20_slope_1h,RSI,ADX,DI_diff,ATR_pct,ATR_ratio,MACD_diff,Stoch_K,Stoch_D,BB_pct,BB_squeeze,VWAP_dist,Volume_ratio,Vol_spike,Structure,Pattern,Dist_resistance,Dist_support
2026-04-30 13:36:36,2026-04-02 09:30:00,DOWN,WIN,0.95,DOWN | trend:4/4 score:5.2 prob:0.334 conf:VERY_HIGH,66863.8,67016.5,66859.6,66944.3,659.863,0.3344,0.4076,0.2556,0.3399,0,3,1.1,5.15,0,4,66936.61495,67050.480654,67304.287052,-0.05627,-0.156298,-0.166241,-0.19805,31.708583,48.947545,-21.952538,0.348535,0.985307,-28.298338,23.933148,15.959713,0.278758,0,-0.82932,0.361383,0,-1,None,2.531657,0.320864
2026-04-30 13:36:36,2026-04-02 09:35:00,DOWN,WIN,0.95,DOWN | trend:4/4 score:5.0 prob:0.381 conf:HIGH,66944.3,66958.3,66787.5,66872.3,553.717,0.381,0.522,0.2872,0.3338,1,2,1.6,5.0,0,4,66915.176633,67018.084171,67263.145428,-0.061128,-0.156298,-0.166241,-0.19805,30.102691,49.374226,-23.032589,0.342232,0.943959,-18.725343,17.495712,18.010327,0.246067,0,-0.892884,0.304227,0,-1,None,2.642051,0.213541
2026-04-30 13:36:36,2026-04-02 15:45:00,DOWN,WIN,0.95,DOWN | trend:4/4 score:4.4 prob:0.347 conf:HIGH,66475.7,66529.7,66461.7,66471.2,253.799,0.3474,0.4426,0.3363,0.2635,0,3,0.9,4.44,0,4,66539.292452,66602.699107,66639.773337,-0.02662,-0.041342,-0.088392,-0.154913,37.05502,22.977244,-14.081334,0.13623,0.962259,-39.789413,2.174908,3.734249,0.062086,1,-0.33583,0.674696,0,-1,Doji,0.642835,0.450421
2026-04-30 13:36:36,2026-04-02 21:30:00,UP,WIN,0.95,UP | trend:3/4 score:5.2 prob:0.870 conf:VERY_HIGH,66221.9,66595.7,66217.2,66483.0,1657.426,0.8695,0.8639,0.8785,0.8661,3,0,5.15,1.8,3,1,66345.530387,66265.998716,66191.404095,0.046394,0.111083,0.048656,-0.018175,63.250884,34.07146,11.961684,0.272153,1.256394,52.419186,87.744672,81.565229,0.977068,1,0.608128,1.364179,0,1,BullEngulf,-0.017147,1.213694
2026-04-30 13:36:36,2026-04-02 23:30:00,UP,WIN,0.95,UP | trend:4/4 score:3.5 prob:0.679 conf:MEDIUM,66836.6,67000.0,66808.4,66967.0,766.258,0.679,0.7015,0.6993,0.6361,3,0,3.5,1.29,4,0,66871.945188,66845.460985,66778.383599,0.029741,0.077851,0.065259,0.017679,63.201092,26.151009,8.392155,0.247855,0.861267,-15.282513,90.10198,67.912365,1.157238,1,0.228836,1.161906,0,0,None,0.16874,1.927666
2026-04-30 13:36:36,2026-04-05 13:05:00,DOWN,WIN,0.95,DOWN | trend:4/4 score:6.1 prob:0.372 conf:VERY_HIGH,66910.8,66910.8,66648.1,66668.5,1962.785,0.3722,0.6326,0.1978,0.2861,1,2,2.1,6.13,0,4,66862.713701,66939.871806,67002.034012,-0.052372,-0.067611,-0.057658,-0.049909,14.507142,31.286213,-49.658096,0.095108,1.682691,-33.427117,4.255319,20.048787,-0.385477,1,-0.348652,7.54615,1,-1,None,0.747579,-0.231444
2026-04-30 13:36:36,2026-04-05 13:10:00,DOWN,LOSS,-1.0,DOWN | trend:4/4 score:6.3 prob:0.367 conf:VERY_HIGH,66668.6,66700.0,66587.7,66620.2,1822.039,0.3666,0.5483,0.2543,0.2972,1,2,2.1,6.31,0,4,66781.8758,66881.74966,66965.668868,-0.054275,-0.067611,-0.057658,-0.049909,13.23175,34.674846,-50.152866,0.100419,1.701887,-44.516643,6.020748,13.052311,-0.222526,1,-0.312696,5.248467,1,-1,None,0.820622,-0.041879
2026-04-30 13:36:36,2026-04-06 03:45:00,UP,LOSS,-1.0,UP | trend:4/4 score:4.5 prob:0.619 conf:HIGH,67524.4,67633.0,67511.3,67630.1,447.319,0.6186,0.711,0.5251,0.6197,3,0,4.48,1.6,4,0,67547.192638,67485.093647,67429.339182,0.03135,0.046096,0.061241,0.074762,65.847118,27.506478,24.782041,0.120462,1.200024,26.914101,88.067655,83.359969,1.004345,1,0.216304,1.490982,0,1,None,0.07615,0.736211
2026-04-30 13:36:36,2026-04-06 05:45:00,UP,LOSS,-1.0,UP | trend:4/4 score:5.5 prob:0.707 conf:VERY_HIGH,67937.4,68235.3,67929.6,68119.9,4095.905,0.7073,0.7222,0.7179,0.6818,3,0,5.46,1.6,4,0,67812.971148,67688.927316,67604.810721,0.080266,0.121588,0.143235,0.158561,73.192048,22.100855,31.175822,0.227261,1.508343,47.696809,87.479657,83.613086,1.27722,1,0.519149,5.963793,1,0,None,-0.221815,1.277013
2026-04-30 13:36:36,2026-04-06 05:50:00,UP,WIN,0.95,UP | trend:4/4 score:5.1 prob:0.826 conf:HIGH,68119.9,68198.0,68044.5,68051.1,939.114,0.8258,0.7005,0.8978,0.879,3,0,5.05,2.3,4,0,67892.347432,67754.776895,67647.314462,0.062871,0.121588,0.143235,0.158561,69.163058,24.146095,28.966489,0.227354,1.461999,57.65262,80.015189,87.567472,1.055196,1,0.361153,1.356117,0,0,None,0.270679,1.177204
2026-04-30 13:36:36,2026-04-06 06:00:00,UP,WIN,0.95,UP | trend:4/4 score:5.5 prob:0.813 conf:VERY_HIGH,68313.0,68440.0,68232.0,68295.4,2652.109,0.8125,0.7537,0.8428,0.8411,3,0,5.5,2.3,4,0,68120.176636,67936.113459,67766.397553,0.082239,0.147232,0.194283,0.240154,73.856534,28.813272,32.814637,0.246145,1.470001,83.43147,87.162642,87.934523,1.030909,0,0.521802,2.863688,1,0,Doji,0.076872,1.530703
2026-04-30 13:36:36,2026-04-06 06:05:00,UP,WIN,0.95,UP | trend:4/4 score:5.7 prob:0.779 conf:VERY_HIGH,68295.5,68580.0,68286.7,68400.0,1649.433,0.7789,0.7053,0.828,0.8033,3,0,5.7,2.8,4,0,68213.451091,68020.456466,67826.740643,0.089046,0.147232,0.194283,0.240154,75.885986,31.307305,34.579882,0.258842,1.485368,88.846679,85.786481,89.858287,1.017729,0,0.610957,1.648493,0,0,None,0.05848,1.681287
2026-04-30 13:36:36,2026-04-06 06:20:00,UP,WIN,0.95,UP | trend:4/4 score:5.8 prob:0.642 conf:VERY_HIGH,68853.9,68950.2,68658.9,68721.2,1736.113,0.6418,0.6507,0.6594,0.6152,3,0,5.75,3.1,4,0,68579.015138,68339.695841,68058.996703,0.102524,0.16036,0.194283,0.240154,75.768135,38.920882,37.800886,0.284235,1.434666,109.251282,86.007577,94.342565,0.940325,0,0.826633,1.380333,0,1,None,0.257999,2.140824
2026-04-30 13:36:36,2026-04-06 07:25:00,UP,LOSS,-1.0,UP | trend:4/4 score:4.2 prob:0.631 conf:HIGH,69230.0,69250.0,69095.3,69150.8,574.984,0.631,0.5453,0.6871,0.6604,3,0,4.2,0.75,4,0,69176.795893,69089.848464,68828.532919,0.04931,0.14958,0.208675,0.224385,69.999755,52.739458,22.688403,0.285346,1.031823,-8.554449,53.23017,61.446066,0.706845,0,0.415807,0.36494,0,1,None,0.625011,2.656802
2026-04-30 13:36:36,2026-04-06 07:30:00,UP,WIN,0.95,UP | trend:4/4 score:4.2 prob:0.641 conf:HIGH,69150.9,69318.6,69079.0,69090.3,838.437,0.6408,0.4609,0.7188,0.7426,2,1,4.2,1.25,4,0,69147.963929,69089.930562,68853.463117,0.036221,0.153528,0.174517,0.224385,66.691251,52.480342,23.196062,0.289967,1.036795,-24.704723,44.239475,54.189176,0.648115,0,0.282987,0.533858,0,1,ShootingStar,0.713125,2.571562
2026-04-30 13:36:36,2026-04-06 22:30:00,UP,LOSS,-1.0,UP | trend:4/4 score:4.3 prob:0.616 conf:HIGH,69700.0,69780.0,69615.3,69714.3,838.778,0.6164,0.6278,0.6086,0.6127,3,0,4.33,0.9,4,0,69664.78618,69613.789461,69546.588744,0.025391,0.039878,0.075587,0.136798,60.356254,35.387235,17.560374,0.247842,1.048232,27.025913,85.394537,78.015933,0.837727,1,0.350504,0.977328,0,0,Doji,0.110451,0.898381
